subid,date,day_label,lat,lon,time,duration
23,2011-02-14,120,42.7867015,-73.860619,2011-02-14T13:30:14Z,10.55
23,2011-02-14,120,42.7868041,-73.8605988,2011-02-14T13:40:47Z,9.516666666666667
23,2011-02-14,120,42.7867709,-73.8605694,2011-02-14T13:50:18Z,10.083333333333334
23,2011-02-14,120,42.7867904,-73.8607078,2011-02-14T14:00:23Z,10.266666666666667
23,2011-02-14,120,42.7867432,-73.8606683,2011-02-14T14:10:39Z,9.683333333333334
23,2011-02-14,120,42.7868321,-73.8605879,2011-02-14T14:20:20Z,10.033333333333333
23,2011-02-14,120,42.7870061,-73.8609011,2011-02-14T14:30:22Z,10.416666666666666
23,2011-02-14,120,42.7867993,-73.860444,2011-02-14T14:40:47Z,9.566666666666666
23,2011-02-14,120,42.7867207,-73.8605125,2011-02-14T14:50:21Z,10
23,2011-02-14,120,42.7868012,-73.8604583,2011-02-14T15:00:21Z,10
23,2011-02-14,120,42.7865863,-73.8605534,2011-02-14T15:10:21Z,9.916666666666666
23,2011-02-14,120,42.7867838,-73.8604326,2011-02-14T15:20:16Z,10.016666666666667
23,2011-02-14,120,42.7865487,-73.8605605,2011-02-14T15:30:17Z,10.066666666666666
23,2011-02-14,120,42.7867239,-73.8604795,2011-02-14T15:40:21Z,9.95
23,2011-02-14,120,42.7866945,-73.8604787,2011-02-14T15:50:18Z,10.35
23,2011-02-14,120,42.7869512,-73.8602804,2011-02-14T16:00:39Z,9.583333333333334
23,2011-02-14,120,42.7866836,-73.8603598,2011-02-14T16:10:14Z,10.6
23,2011-02-14,120,42.7867688,-73.8606494,2011-02-14T16:20:50Z,9.8
23,2011-02-14,120,42.7866426,-73.8603198,2011-02-14T16:30:38Z,9.716666666666667
23,2011-02-14,120,42.786573,-73.8604788,2011-02-14T16:40:21Z,10.033333333333333
23,2011-02-14,120,42.7867029,-73.8604899,2011-02-14T16:50:23Z,9.95
23,2011-02-14,120,42.7867207,-73.8604821,2011-02-14T17:00:20Z,9.966666666666667
23,2011-02-14,120,42.7867798,-73.8603835,2011-02-14T17:10:18Z,10.05
23,2011-02-14,120,42.78659,-73.8605736,2011-02-14T17:20:21Z,10.45
23,2011-02-14,120,42.7867814,-73.8605833,2011-02-14T17:30:48Z,9.483333333333333
23,2011-02-14,120,42.7866959,-73.8604195,2011-02-14T17:40:17Z,10.583333333333334
23,2011-02-14,120,42.7866481,-73.8605219,2011-02-14T17:50:52Z,9.9
23,2011-02-14,120,42.7870944,-73.8603285,2011-02-14T18:00:46Z,9.95
23,2011-02-14,120,42.786423,-73.8607684,2011-02-14T18:10:43Z,10.65
23,2011-02-14,120,42.7866607,-73.8605468,2011-02-14T18:21:22Z,8.816666666666666
23,2011-02-14,120,42.7866715,-73.8604145,2011-02-14T18:30:11Z,10.116666666666667
23,2011-02-14,120,42.7866189,-73.860442,2011-02-14T18:40:18Z,10.066666666666666
23,2011-02-14,120,42.7866003,-73.8603973,2011-02-14T18:50:22Z,9.95
23,2011-02-14,120,42.7867149,-73.8604966,2011-02-14T19:00:19Z,10
23,2011-02-14,120,42.7865552,-73.8605083,2011-02-14T19:10:19Z,9.966666666666667
23,2011-02-14,120,42.786556,-73.8605062,2011-02-14T19:20:17Z,10.333333333333334
23,2011-02-14,120,42.7865688,-73.8603932,2011-02-14T19:30:37Z,10.05
23,2011-02-14,120,42.7868424,-73.8603571,2011-02-14T19:40:40Z,9.466666666666667
23,2011-02-14,120,42.7865511,-73.8606957,2011-02-14T19:50:08Z,10.1
23,2011-02-14,120,42.7867085,-73.8605685,2011-02-14T20:00:14Z,10.083333333333334
23,2011-02-14,120,42.7868228,-73.8604775,2011-02-14T20:10:19Z,9.866666666666667
23,2011-02-14,120,42.7870438,-73.860506,2011-02-14T20:20:11Z,10.266666666666667
23,2011-02-14,120,42.7868203,-73.8604267,2011-02-14T20:30:27Z,9.966666666666667
23,2011-02-14,120,42.785994,-73.860653,2011-02-14T20:40:25Z,9.9
23,2011-02-14,120,42.7867148,-73.8605419,2011-02-14T20:50:19Z,10.433333333333334
23,2011-02-14,120,42.7867411,-73.8606303,2011-02-14T21:00:45Z,9.466666666666667
23,2011-02-14,120,42.7866464,-73.860983,2011-02-14T21:10:13Z,10.05
23,2011-02-14,120,42.7865926,-73.8607949,2011-02-14T21:20:16Z,10.033333333333333
23,2011-02-14,120,42.7866381,-73.8604733,2011-02-14T21:30:18Z,10.316666666666666
23,2011-02-14,120,42.7866142,-73.8608361,2011-02-14T21:40:37Z,9.783333333333333
23,2011-02-14,120,42.7866197,-73.8608572,2011-02-14T21:50:24Z,20.416666666666668
23,2011-02-14,120,42.7866511,-73.8604654,2011-02-14T22:10:49Z,9.416666666666666
23,2011-02-14,120,42.7866891,-73.8602259,2011-02-14T22:20:14Z,10.033333333333333
23,2011-02-14,120,42.7869744,-73.8609563,2011-02-14T22:30:16Z,10.466666666666667
